code,food_name,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,b_carotene_equivalent_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_eq_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
01001,"Amaranth, whole grain, dry, raw",0,0,0,0,0.07,0.21,0.5,82,82,0,1
01002,"Amaranth, whole grain, flour",0,0,0,1,0.08,0.15,0.7,0,1,0,0
01003,"Biscuit, Savoury",8,10,7,15,0.16,0.06,1.3,21,21,0,3
01004,"Biscuit, Sweet",40,42,38.5,20,0.09,0.03,0.7,23,23,0.1,7
01005,"Bread, Brown",0,0,0,0,0.22,0.01,3.4,37,37,0.05,0
01006,"Bread, Sweet",74,77,70,43,0.2,0.16,2.3,33,33,0.23,0.6
01007,"Bread, White",0,0,0,0,0.16,0.06,3.8,28,28,0.07,0
01008,"Breakfast cereal, flakes of corn, fortified",11,21,0,128,1,1.5,17.7,422,4,0,0
01009,"Breakfast cereal, flakes of corn",10,21,0,125,0,0.08,0.8,4,4,0,0
01010,"Breakfast cereal, wheat biscuits, Weetabix type",0,0,0,0,1,1.24,11,53,53,0,0
01011,"Buns, Currant",0,0,0,1,0.2,0.03,2.1,12,12,0,0
01012,"Cake or cupcake, plain butter cake, commercial",50,53,46,42.5,0.06,0.14,0.7,9,8.5,0.15,0
01018,"Maize, grain, white variety, whole, dry, raw",0,0,0,0,0.25,0.1,2,71,71,0,0
01046,"Amaranth, whole grain, dry, stewed (without salt)",0,0,0,0,0.02,0.07,0.2,22,22,0,0
01047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",0,0,0,0,0.04,0.02,0.5,16,16,0,0
02001,"Arrowroot, flour",0,0,0,0,0.1,0.02,0.48,0,0,0,0
02002,"Arrowroot, peeled, raw",1,3,0,17,0.22,0.09,2.56,0,0,0,2
02003,"Banana, BITA 3, dried, flour",13,25,0,151,0.18,0.24,2.8,14,14,0,7.1
02004,"Banana, plantain, green, raw",0,1,0,3,0.06,0.04,0.33,19,19,0,23.3
02005,"Beet root, peeled, raw",1,2,0,10,0.01,0.02,0.3,110,110,0,5.3
02007,"Cassava, root, white, peeled, raw",1,1,0,8,0.23,0.01,0.4,27,27,0,38
02008,"Cassava, root, yellow, peeled, raw",61,122,0,730,0.09,0.03,0.8,27,27,0,41
02009,"Potato, Irish (English), white variety, peeled, raw",0,0,0,0,0.07,0.04,1.2,53,53,0,6.6
02013,"Sweet potato, brown skin, peeled, raw",8,17,0,100,0.07,0.03,0.8,16,16,0,18
02014,"Sweetpotato, orange, biofortified, raw",517,1030,0,6200,0.03,0.05,1,11,11,0,31
03001,"Beans, broad, dry, raw",2,5,0,29,0.56,0.33,2.41,250,250,0,1.4
03002,"Beans, broad, fresh, raw",16,32,0,195,0.12,0.14,2,284,284,0,41
03004,"Beans, kidney, dry, raw",1,1,0,6,0.35,0.18,2.4,272,272,0,0.3
03011,"Cowpeas, dry, raw",2,3,0,19,0.9,0.15,2.4,439,439,0,1.5
03013,"Flour, soya, full fat",6,12,0,71,0.8,0.3,4.2,338,338,0,0
04001,"Amaranth, leaves, picked, raw",326,652,0,3913,0.03,0.22,0.69,64,64,0,77
04002,"Bitter gourd, whole, different varieties, raw",11,21,0,126,0.07,0.04,0.3,45,45,0,60
04003,"Black (African) nightshade, indigenous, leaves, picked, raw",2,4,0,24,0.06,0.32,1.1,404,404,0,36
04004,"Broccoli, tops and stems, raw",25,51,0,303,0.1,0.22,0.5,48,48,0,103
04005,"Cabbage, leaf head, Chinese, raw",16,32,0,190,0.03,0.04,0.4,170,170,0,20
04006,"Cabbage, leaf head, red raw",1,2,0,10,0.09,0.13,0.5,57,57,0,69
04007,"Cabbage, leaf head, white, raw",0,0,0,0,0.04,0.04,0.4,15,15,0,50
04008,"Capsicum (sweet peper), green, raw",27,55,0,328,0.03,0.03,0.5,8,8,0,115
04009,"Capsicum (sweet peper), red, raw",21,41,0,246,0.04,0.05,1,52,52,0,156
04010,"Capsicum (sweet peper), yellow, raw",14,28,0,166,0.14,0.02,0.59,30,30,0,127
04011,"Carrot, peeled, raw",589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5
04012,"Cauliflower, tops and stems, raw",0,0,0,2,0.06,0.09,0.5,44,44,0,70
04013,"Celery, stalk, raw",39,78,0,465,0.03,0.03,0.4,13,13,0,12
04014,"Courgette, green, unpeeled, raw",23,46,0,278,0.03,0.06,0.6,17,17,0,24
04015,"Cowpea, leaves, picked, raw",36,72,0,0,0.49,0.37,1.6,95,95,0,50
04016,"Cucumber, green, unpeeled, raw",0,1,0,5,0.03,0.02,0.2,7,7,0,7
04017,"Eggplant / Brinjal, different varieties, whole edible, raw",12,24,0,146,0.05,0.05,1,29,29,0,2
04018,"Jute mallow, picked leaves, raw",217,434,0,2603,0.09,0.34,0.53,117,117,0,44.5
04019,"Kale, Ethiopian (kanzera), leaves, raw",118,236,0,1418,0.06,0.23,0.9,73,73,0,134
04020,Kale (sukuma wiki) raw,177,355,0,2127,0.11,0.13,1,62,62,0,134
04021,"Leeks, bulb and stem, raw",20,40,0,242,0.14,0,0,64,64,0,21
04022,"Lettuce, not further defined, raw",107,214,0,1285,0.08,0.05,0.26,66,66,0,10
04023,"Mushroom, fresh, raw",0,0,0,0,0.1,0.4,0.7,23,23,0,0
04024,"Mushroom, dried, raw",0,0,0,0,0.24,0.17,3.77,163,163,0,0
04025,"Mushroom, raw, canned in brine (drained)",4,7,0,42,0.23,0.05,1.3,22,22,0,3
04026,"Okra, fresh, raw",9,19,0,112,0.1,0.06,1,88,88,0,21
04027,"Pumpkin, flesh, yellow w/o seeds, raw",126,252,0,1512,0.07,0.06,0.78,50,50,0,8
04028,"Pumpkin, leaves, raw",141,283,0,1695,0.07,0.12,1.49,36,36,0,12.3
04029,"Spider plant, leaves, raw",217,434,0,2603,0.1,0.12,1.3,346,346,0,64
04030,"Spinach, leaves, raw",189,377,0,2260,0.03,0.18,0.4,110,110,0,37
04031,"Spinach, Swiss chard, leaves, raw",190,380,0,2280,0.03,0.1,0.6,121,121,0,24
04032,"Squash, butternut, peeled, flesh, raw",160,320,0,1920,0.07,0.06,1.02,31,31,0,8
04033,"Stinging nettle, leaves, raw",2,3,0,0,0.04,0,1,457,457,0,5
04034,Sweet Potato (Leaves),189,378,0,2270,0.1,0.35,1.1,1,1,0,11
04035,"Tomato, green, raw",3,5,0,32,0.08,0.1,0.5,9,9,0,16
04036,"Tomato, red, ripe, raw",26,53,0,316,0.04,0.04,0.5,25,25,0,25
04037,"Tomato, canned, whole contents",28,56,0,334,0,0,0.6,26,26,0,6
04038,"Vine (African) spinach, picked leaves, raw",184,369,0,2210,0.1,0.2,0.9,71,71.3,0,79.8
04039,"Amaranth, leaves, picked, boiled, drained (without salt)",309,618,0,3707,0.02,0.15,0.5,34,34,0,33
04040,"Amaranth, leaves, picked, stewed (without salt)",362,725,0,4347,0.03,0.26,0.8,55,55,0,57
04041,"Bitter gourd, whole, different varieties, boiled, drained (without salt)",11,21,0,126,0.05,0.03,0.2,25,25,0,43
04042,"Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",2,3,0,20,0.04,0.2,0.7,192,192,0,14
04044,"Broccoli, tops and stems, boiled, drained (without salt)",20,41,0,246,0.06,0.13,0.3,22,22,0,60
04045,"Broccoli, tops and stems, steamed (without salt)",22,44,0,262,0.08,0.19,0.4,28,28,0,74
04046,"Cabbage, leaf head, Chinese, boiled, drained (without salt)",15,29,0,174,0.02,0.03,0.3,87,87,0,8
04047,"Cabbage, leaf head, Chinese, steamed (without salt)",15,29,0,174,0.02,0.04,0.3,104,104,0,11
04048,"Cabbage, leaf head, red, boiled, drained (without salt)",1,2,0,9,0.06,0.09,0.3,29,29,0,28
04049,"Cabbage, leaf head, red, stewed (without salt)",1,1,0,8,0.08,0.11,0.4,37,37,0,38
04050,"Cabbage, leaf head, white, boiled, drained (without salt)",0,0,0,0,0.03,0.03,0.3,8,8,0,20
04051,"Cabbage, leaf head, white, stewed (without salt)",0,0,0,0,0.04,0.04,0.4,11,11,0,32
04052,"Capsicum (sweet peper), green, boiled, drained (without salt)",28,57,0,339,0.02,0.02,0.4,5,5,0,86
04053,"Capsicum (sweet peper), green, grilled (without salt and fat)",26,53,0,317,0.03,0.03,0.5,6,6,0,99
04054,"Capsicum (sweet peper), green, baked (without salt)",26,51,0,308,0.03,0.03,0.5,6,6,0,96
04055,"Capsicum (sweet peper), red, boiled, drained (without salt)",21,42,0,254,0.03,0.04,0.7,30,30,0,117
04056,"Capsicum (sweet peper), red, grilled (without salt and fat)",20,40,0,238,0.04,0.05,1,39,39,0,134
04057,"Capsicum (sweet peper), red, baked (without salt)",19,38,0,231,0.04,0.05,1,38,38,0,130
04058,"Capsicum (sweet peper), yellow, boiled, drained (without salt)",14,29,0,172,0.1,0.01,0.4,17,17,0,95
04059,"Capsicum (sweet peper), yellow, grilled (without salt and fat)",13,27,0,161,0.14,0.02,0.6,23,23,0,109
04060,"Capsicum (sweet peper), yellow, baked (without salt)",13,26,0,156,0.13,0.02,0.6,22,22,0,106
04061,"Carrot, peeled, boiled, drained (without salt)",564,1130,0,6770,0.03,0.02,0.2,10,10,0,2
04062,"Carrot, peeled, stewed (without salt)",552,1110,0,6630,0.04,0.03,0.2,13,13,0,5
04063,"Cauliflower, tops and stems, boiled, drained (without salt)",0,0,0,1,0.04,0.06,0.3,22,22,0,46
04064,"Celery, stalk, boiled, drained (without salt)",39,78,0,465,0.02,0.02,0.3,7,7,0,9
04065,"Courgette, green, unpeeled, boiled, drained (without salt)",14,28,0,168,0.02,0.04,0.4,9,9,0,17
04066,"Cowpea, leaves, picked, boiled, drained (without salt)",0,0,0,0,0.3,0.23,1,45,45,0,19
04067,"Cowpea, leaves, picked, steamed (without salt)",0,0,0,0,0.34,0.29,1.1,49,49,0,24
04068,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",12,24,0,141,0.03,0.03,0.4,16,16,0,1
04069,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",14,27,0,164,0.06,0.06,0.6,25,25,0,2
04070,"Jute mallow, picked leaves, boiled, drained (without salt)",205,411,0,2466,0.06,0.23,0.4,61,61,0,18.3
04071,"Jute mallow, picked leaves, stewed (without salt)",241,482,0,2892,0.1,0.4,0.6,101,101,0,32.2
04072,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",101,203,0,1215,0.04,0.14,0.6,35,35,0,51
04073,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",92,185,0,1109,0.04,0.18,0.6,38,38,0,64
04074,"Kale (sukuma wiki), boiled, drained (without salt)",152,304,0,1823,0.07,0.08,0.6,30,30,0,51
04075,"Kale (sukuma wiki), steamed (without salt)",139,277,0,1665,0.08,0.1,0.7,33,33,0,64
04076,"Leeks, bulb and stem, boiled, drained (without salt)",22,44,0,262,0.12,0.07,0.3,39,39,0,10
04077,"Mushroom, fresh, boiled, drained (without salt)",0,0,0,0,0.09,0.36,0.6,16,16,0,0
04078,"Mushroom, fresh, stewed (without salt)",0,0,0,0,0.11,0.47,0.8,20,20,0,0
04079,"Mushroom, dried, boiled, drained (without salt)",0,0,0,0,0.09,0.06,1.4,47,47,0,0
04080,"Okra, fresh, boiled, drained (without salt)",8,15,0,91,0.05,0.04,0.6,40,40,0,12
04081,"Okra, fresh, stewed (without salt)",9,18,0,109,0.08,0.06,0.9,57,57,0,17
04082,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",123,246,0,1479,0.05,0.04,0.5,27,27,0,6
04083,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",100,201,0,1204,0.06,0.05,0.7,31,31,0,6
04084,"Pumpkin, leaves, boiled, drained (without salt)",121,242,0,1453,0.04,0.07,0.9,17,17,0,5
04085,"Pumpkin, leaves, steamed (without salt)",111,221,0,1327,0.05,0.09,1,19,19,0,6
04086,"Spider plant, leaves, boiled, drained (without salt)",186,372,0,2231,0.06,0.07,0.8,165,165,0,24
04087,"Spider plant, leaves, steamed (without salt)",170,339,0,2037,0.07,0.09,0.9,181,181,0,31
04088,"Spinach, leaves, boiled, drained (without salt)",179,357,0,2140,0.02,0.12,0.3,58,58,0,15
04089,"Spinach, leaves, stewed (without salt)",209,419,0,2510,0.03,0.21,0.5,95,95,0,27
04090,"Spinach, Swiss chard, leaves, boiled, drained (without salt)",180,360,0,2160,0.02,0.07,0.4,64,64,0,10
04091,"Spinach, Swiss chard, leaves, stewed (without salt)",211,422,0,2530,0.03,0.12,0.7,105,105,0,18
04092,"Squash, butternut, peeled, flesh, boiled, drained (without salt)",162,324,0,1940,0.05,0.04,0.7,18,18,0,6
04093,"Squash, butternut, peeled, flesh, steamed (without salt)",162,324,0,1940,0.06,0.06,0.9,21,21,0,7
04094,"Squash, butternut, peeled, flesh, baked (without salt)",169,339,0,2030,0.07,0.06,1.1,26,26,0,8
04095,"Stinging nettle, leaves, boiled, drained (without salt)",0,0,0,0,0.02,0.19,0.7,218,218,0,2
04096,"Stinging nettle, leaves, steamed (without salt)",0,0,0,0,0.03,0.24,0.7,238,238,0,2
04097,"Tomato, green, boiled, drained (without salt)",3,6,0,37,0.07,0.04,0.4,6,6,0,14
04098,"Tomato, red, ripe, boiled, drained (without salt)",30,61,0,365,0.04,0.04,0.5,16,16,0,21
04099,"Vine (African) spinach, picked leaves, boiled, drained (without salt)",175,349,0,2100,0.04,0.14,0.6,38,38,0,34
05001,"Apple, green skin, unpeeled, raw",1,2,0,11,0.025,0.01,0.1,0,0,0,4
05002,"Apple, red, unpeeled, raw",1,2,0,14,0.02,0.01,0.13,5,5,0,4
05003,"Avocado, ripe, raw",2,5,0,27,0.07,0.15,1.8,67,67,0,14
05004,"Banana, cavendish, raw",5,9,0,56,0.05,0.05,0.35,22,22,0,4
05005,"Baobab fruit, powderly part, dry, raw",0,0,0,0,0.04,0.2,1.5,50,50,0,13.7
05006,"Custard apple, peeled, raw",0,0,0,0,0.07,0.13,0.7,37,37,0,22
05007,"Date, dried",2,4,0,23,0.03,0.13,1.4,19,19,0,5
05008,"Date, raw",2,3,0,20,0.06,0.07,0.7,25,25,0,22
05009,"Doumpalm fruit, raw",0,0,0,0,0.05,0.1,0,0,0,0,0
05010,"Grapes, green, raw",2,5,0,29,0.03,0.03,0.2,4,4,0,14
05011,"Guava, pink-fleshed, raw",22,45,0,267,0.06,0.05,0.6,16,16,0,222
05012,"Jackfruit, fruit, yellow-fleshed, peeled, raw",7,15,0,90,0.07,0.13,0.7,19,19,0,7
05013,"Lemon, juice, home squeezed",1,2,0,10,0.02,0.01,0.2,11,11,0,44
05014,"Lemon peel, raw",3,5,0,30,0.06,0.08,0.4,13,13,0,129
05015,"Lemon, pulp, raw",1,2,0,10,0.03,0.02,0.2,11,11,0,44
05016,"Lime, juice",2,5,0,28,0.03,0.02,0.2,6,6,0,41
05017,"Lime, pulp, raw",3,5,0,31,0.02,0.03,0.2,8,8,0,55
05018,"Loquat, peeled, raw",45,89,0,537,0.02,0.04,0.3,14,14,0,4.1
05019,"Mango, ripe, raw",92,184,0,1105,0.03,0.04,0.6,54,54,0,35
05020,"Mango, unripe, raw",7,13,0,78,0.02,0.03,0.26,26,26,0,88
05021,"Mulberry, raw",1,2,0,10,0.03,0.07,0.7,33,33,0,11
05022,"Orange, Juice",3,7,0,42,0.06,0.02,0.1,44,44,0,64
05023,"Orange, pulp, raw",5,9,0,57,0.04,0.03,0.2,52,52,0,45
05024,"Papaya, yellow skin, peeled, raw",85,170,0,1018,0.04,0.03,0.3,37,37,0,51
05025,"Passion fruit, dark purple skin, raw",64,127,0,764,0.03,0.14,2.5,7,7,0,29
05026,"Passion Fruit, juice",45,90,0,538,0.07,0.01,1.5,8,8,0,23
05027,"Peach, yellow-fleshed, unpeeled, raw",13,26,0,157,0.01,0.03,0.8,0,4,0,8
05028,"Pear, unpeeled, raw",1,2,0,14,0.03,0.03,0.1,7,7,0,4
05029,"Pineapple, canned in syrup, whole contents",1,1,0,8,0.05,0,0,5,5,0,9
05030,"Pineapple, raw",3,5,0,31,0.05,0.03,0.12,32,32,0,36.4
05031,"Plum, purple skin, raw",6,12,0,74,0.04,0.06,0.5,1,6,0,4
05032,"Pomegranate, raw",4,9,0,53,0.06,0.06,0.4,38,38,0,15
05033,"Raspberry, raw",3,5,0,30,0.04,0.03,0.3,34,34,0,30
05034,"Strawberry, raw",0,0,0,1,0.03,0.02,0.1,39,39,0,49
05035,"Tangerine, juice, non-commercial",13,25,0,152,0.04,0.03,0.1,21,21,0,37
05036,"Tangerine, pulp, raw",1,2,0,10,0.08,0.05,0.3,24,24,0,36
05037,"Tree tomato, dark red skin, peeled, raw",45,91,0,546,0.13,0.1,1.6,63,63,0,12.6
05038,"Watermelon, fruit, green with white stripes, raw",21,41,0,246,0.03,0.04,0.26,16,16,0,11.5
05039,"Zambarau, peeled, raw",0,0,0,0,0,0,0,0,0,0,0
06001,"Butter (cow milk), no added salt (~80-84% fat)",845,858,832,153,0,0.05,1.1,6,6,0,0
06002,"Butter (cow milk), salted (~80% fat)",845,858,832,153,0,0.05,1.1,6,6,0,0
06003,"Cheese, cheddar, regular fat",166,174,159,87,0.04,0.5,1.5,52,52,1.9,1
06004,"Cheese, cottage (cow milk), plain, skimmed",34,37,30,44,0.05,0.2,0.5,3,3,0.6,0
06005,"Cheese, cottage (cow milk), plain, whole",35,38,31,44,0.05,0.29,0.5,3,3,0.6,0
06006,"Cheese, cottage, Milk, Cow, Sour",37,38,36,12,0.03,0.27,0.1,12,12,0.43,0
06007,"Cream, pure, 35% fat",174,184,164,118,0.03,0.12,0,64,64,0.2,0
06008,Ghee (cow milk),900,940,860,480,0,0.01,0,0,0,0,0
06009,"Ice cream, caramel flavour, regular fat",166,182,150,190,0,0.29,0.7,10,10,0.1,0
06010,"Ice cream, chocolate flavour, regular fat",145,147,143,23,0,0.19,0.2,16,16,0.25,0.7
06011,"Ice cream, strawberry flavour, regular fat",139,155,123,190,0.02,0.27,0.4,11,11,0.2,0
06012,"Ice cream, vanilla flavour, regular fat",166,182,150,190,0,0.25,0.7,10,10,0.1,0
06013,"Ice cream, vanilla flavour, with nuts, regular fat",162,177,146,186,0,0.29,0.7,11,11,0.1,0
06014,"Milk, camel, whole, fresh, raw",15,16,13,18,0.61,0.08,0,8,8,0.6,0
06015,"Milk, cow, condensed, skimmed, sweetened, raw",0,0,0,2,0.1,0.6,0.3,0,0,0.4,2
06016,"Milk, cow, condensed, whole, sweetened, raw",74,78,70,46,0.1,0.5,0.3,0,0,0.4,1
06017,"Milk, cow, powder, skimmed",5,5,4,7,0.45,1.64,0.9,54,54,4,2
06018,"Milk, cow, powder, whole",395,408,383,149,0.34,1.32,0.8,54,54,3.2,3
06019,"Milk, cow, skimmed, raw",0,0,0,1,0.03,0.18,0.1,6,6,0.4,1
06020,"Milk, cow, whole, fermented (Lala - Industrial)",34,34,34,0,0,0.2,0,0,0,0.23,0
06021,"Milk, cow, whole, fermented (Lala - mursik)",41,41,41,0,0,0.27,0,0,0,0.1,1
06022,"Milk, cow, whole, fresh, raw",41,43,40,18,0,0.27,0,8,8,0.59,0
06023,"Milk, goat, fluid, whole, raw",32,32,32,0,0.05,0.19,0.5,1,1,0.35,0.5
06024,"Milk, human/breast, mature, fluid",61,61,60,7,0.02,0.03,0.2,5,5,0.05,4
06025,"Milk, sheep, fluid, whole, raw",81,81,81,0,0.07,0.36,0.4,7,7,0.7,4
06026,"Yoghurt, cow milk, whole, plain",34,36,32,23,0.1,0.2,0.1,0,0,0.2,0
06027,"Milk, camel, whole, fresh, boiled",16,16,16,0,0.65,0.09,0,8,8,1,0
06028,"Milk, cow, skimmed, boiled",0,0,0,1,0.03,0.2,0.1,6,6,0,1
06029,"Milk, cow, whole, fresh, boiled",47,47,47,0,0,0.3,0,8,8,1,0
06030,"Milk, goat, fluid, whole, boiled",38,38,38,0,0.05,0.21,0.5,1,1,0,0
06031,"Milk, sheep, fluid, whole, boiled",95,95,95,0,0.07,0.4,0.4,7,7,1,3
07001,"Beef, high fat, w/o bones, raw",29,31,29,13,0,0.18,3.4,0,0,1.63,0.5
07002,"Beef, lean, raw",6,7,6,10,0,0.23,5.2,2,2,2.42,0.5
07003,"Beef, liver, raw",19534,19601,19466,811,0.23,2.63,9.4,268,268,112.84,14
07004,"Beef, medium fat, w/o bones, raw",10,10,9,5,0,0.21,4.4,2,2,1.9,0.6
07005,"Camel blood, raw",74,74,74,0,0.04,0.05,0.2,0,0,0,0
07006,Camel Meat,1,2,0,10,0.04,0.2,6,8,8,1.7,0
07007,"Cow’s blood, raw",74,74,74,0,0.08,0.09,0.35,0,0,0,0
07008,"Duck, meat and skin, fresh, raw",39,39,39,0,0.35,0.45,3.51,0,0,0.6,0
07009,"Chicken, unespecified part, w/o bone, meat&skin, raw",75,75,75,0,0.14,0.12,6.4,11,11,0.63,1.2
07010,"Egg, chicken, white (albumen), raw",0,0,0,0,0,0.41,0,7,7,0,0
07011,"Egg, chicken, whole, raw",186,186,186,0,0.12,0.51,0,83,83,1.7,0
07012,"Egg, chicken, yolk, raw",449,449,449,0,0.19,0.4,0,120,120,4,0
07013,"Goat blood, raw",0,0,0,0,0,0,0,0,0,0,0
07014,"Goat, lean, raw",7,7,7,0,0.17,0.23,4.4,2,2,3.09,0.4
07015,"Goat liver, raw",15700,15700,15700,0,0.2,0.37,12.9,178,178,64,14
07016,"Goat, medium fat, raw",18,18,18,0,0.16,0.18,3.7,1,1,2.34,0.8
07017,"Guinea fowl, meat, with skin",2,2,2,0,0.02,0.18,3.6,4,4,0.27,1
07018,"Lamb liver, raw",31400,31400,31400,46,0.3,2.25,10.9,759,759,90,20
07019,"Lamb, raw (unspecified part)",0,0,0,0,0.12,0.23,6.1,18,18,2.39,0
07020,"Pork, meat, raw (unspecified part)",0,0,0,0,0.63,0.17,3.8,4,4,0.6,0
07021,"Rabbit meat, raw",10,10,10,0,0.46,0.06,7.5,11,11,5.3,0
07022,"Sausage, beef, raw",129,134,125,54,0.03,0.1,2.6,9,9,1.42,0
07023,"Sausage, frankfurters",9,11,7,24,0.04,0.08,0.9,3,3,1.1,0
07024,"Sausage, liver, raw",8310,8310,8310,0,0.2,1.6,4.3,30,30,13.46,0
07025,"Sausage, pork, raw",26,27,25,13,0.04,0.12,2.7,21,21,0.6,0
07026,"Quail, flesh & skin, raw",47,47,47,0,0.17,0.39,7.1,8,8,0.82,6
07027,"Egg, chicken, whole, boiled (without salt)",177,177,177,0,0.09,0.41,0,66,66,1,0
07028,"Egg, chicken, whole, poached (without salt)",201,201,201,0,0.1,0.46,0,75,75,2,0
07029,"Egg, chicken, yolk, boiled (without salt)",427,427,427,0,0.15,0.32,0,96,96,3,0
07030,"Egg, chicken, white (albumin), boiled (without salt)",0,0,0,0,0,0.33,0,6,6,0,0
07031,"Beef, high fat, w/o bones, boiled (without salt)",37,38,35,16,0,0.23,2.8,0,0,2,1
07032,"Beef, high fat, w/o bones, grilled (without salt and fat)",31,32,30,14,0,0.22,3.8,0,0,2,1
07033,"Beef, high fat, w/o bones, stewed (without salt)",34,36,33,15,0,0.23,3.2,0,0,2,1
07034,"Beef, lean, boiled (without salt)",10,11,8,15,0,0.38,5.3,2,2,3,1
07035,"Beef, lean, grilled (without salt and fat)",7,7,6,10,0,0.29,5.8,2,2,3,1
07036,"Beef, lean, stewed (without salt)",9,10,8,14,0,0.37,5.9,2,2,3,1
07037,"Beef, liver, boiled (without salt)",23677,23759,23595,983,0.24,3.5,7.1,264,264,111,15
07038,"Beef, medium fat, without bones, boiled (without salt)",12,13,11,6,0,0.27,3.7,2,2,2,1
07039,"Beef, medium fat, without bones, grilled (without salt and fat)",10,10,10,5,0,0.26,4.9,3,3,2,1
07040,"Beef, medium fat, without bones, stewed (without salt)",11,12,11,6,0,0.27,4.2,2,2,2,1
07041,"Chicken, unspecified part, w/o bone, meat&skin, boiled (without salt)",52,52,52,0,0.1,0.14,4.9,7,7,0,2
07042,"Chicken, unspecified part, w/o bone, meat&skin, grilled (without salt and fat)",72,72,72,0,0.11,0.13,6.6,9,9,1,1
07043,"Goat, lean, boiled (without salt)",8,8,8,0,0,0.28,3.8,2,2,3,0
07044,"Goat, lean, grilled (without salt and fat)",9,9,9,0,0.17,0.3,5.2,2,2,3,1
