code,food_name,phytate_mg,ip3_mg,ip4_mg,ip5_mg,ip6_mg
01018,"Maize, grain, white variety, whole, dry, raw",615,0,10,107,568
01020,"Maize meal, sifted, fortified, packaged, raw",622,21,18,85,532
01022,"Maize, whole, flour, raw",615,0,22,121,603
01023,"Green Maize, white, whole, grain, fresh, raw",210,0,7,74,453
01025,"Millet, bulrush, grain, dry, raw",474,0,2,123,462
01033,"Rice, parboiled, raw",268,,,,
01034,"Rice, white, milled, polished grain, dry, raw",295,,,,
01035,"Semolina, raw",540,,,,
01037,"Sorghum, Grain, Red, Dried, Raw",534,,,,
01038,"Sorghum, Grain, Red, Flour",534,,,,
01039,"Sorghum, grain, white, dry, raw",532,,,,
01042,Wheat Flour-Atta,635,,,,
01043,"Wheat Flour (refined/fortified/sifted packaged), raw",123,,,,
01044,"Wheat, whole, flour, raw",624,,,,
01045,"Wheat, whole, grain, dry, raw",624,,,,
02009,"Potato, Irish (English), white variety, peeled, raw",81,,,,
03004,"Beans, kidney, dry, raw",623,,,,
03005,"Beans, lima, dry, raw",569,,,,
03010,"Chick peas, whole, dry, raw",543,,,,
03011,"Cowpeas, dry, raw",162,,,,
03015,"Garden peas, fresh, raw",408,,,,
03016,"Garden peas, dry, raw",659,,,,
03017,"Gram, black, dry, raw",368,,,,
03019,"Gram, green, dry, raw",564,,,,
03020,"Lentils, whole, dry, raw",585,,,,
03021,"Pigeon peas, dry, raw",425,,,,
03022,"Soybean, dry, raw",5,,,,
04001,"Amaranth, leaves, picked, raw",14,,,,
04002,"Bitter gourd, whole, different varieties, raw",136,,,,
10002,"Coconut, fresh, mature fruit, flesh",390,,,,
10004,"COCONUT MEAT, DRIED,(DESICCATED)",245,,,,
10005,"Jack fruit, seed, mature, dry, raw",129,,,,
10006,"Mustard Seeds, Dry, Raw",964,,,,
10007,"Nut, almond, with or without skin, raw, unsalted",589,,,,
10009,"Nut, ground nut, with skin, unsalted, dry, raw",808,,,,
10011,"Nut, pistachio, raw, unsalted",589,,,,
10012,Peanut Butter,589,,,,