code,food_name,ile,leu,lys,met,cys,phe,tyr,thr,trp,val,arg,his,ala,asp,glu,gly,pro,ser
01017,"Maize, grain, white variety, whole, dry, raw",320,1130,330,0,0,410,385,405,0,435,530,214,705,380,1680,325,890,540
01022,"Green Maize, white, whole, grain, fresh, raw",160,410,200,68,48,240,245,185,24,160,220,87,350,375,814,183,365,247
01019,"Maize meal, sifted, fortified, packaged, raw",270,1020,275,0,0,400,390,335,0,370,420,310,600,230,1480,195,835,310
01024,"Millet, bulrush, grain, dry, raw",440,1010,480,240,100,600,350,370,140,610,340,210,800,850,2070,300,660,330
01035,"Sorghum, grain, white, dry, raw",555,1520,375,173,156,575,311,450,80,670,495,330,1200,590,2530,235,1060,455
01031,"Rice, white, milled, polished grain, dry, raw",350,720,365,192,115,440,440,294,80,555,700,166,485,585,1500,365,455,565
01037,"Wheat Flour (refined/fortified/sifted packaged), raw",370,710,390,110,150,610,330,270,100,460,350,220,310,470,3650,300,1220,350
01040,"Wheat, whole, grain, dry, raw",530,985,455,203,0,590,410,420,115,585,660,345,475,480,3900,500,1400,540
02008,"Potato, Irish (English), white variety, peeled, raw",98,200,190,39,30,107,125,87,38,136,160,53,74,589,404,72,115,106
03004,"Beans, Kidney, dry, raw",1250,2020,1430,271,98,1220,640,950,190,1490,1260,525,960,2940,3560,880,900,1180
03014,"Garden peas, fresh, raw",380,655,620,50,51,360,290,225,67,430,420,215,495,625,1340,280,385,245
03016,"Gram, black, dry, raw",1340,2280,1920,265,143,1420,720,900,180,1800,1700,720,1230,3210,4600,1060,1180,1300
04032,"Squash, butternut, peeled, flesh, raw",56,81,53,17,13,56,48,43,20,62,90,27,60,230,185,53,52,56
04020,Kale (sukuma wiki) raw,160,250,190,29,40,220,125,165,36,220,175,62,185,360,430,180,165,155
04019,"Kale, Ethiopian (kanzera), leaves, raw",155,250,205,31,43,235,120,165,39,245,115,85,225,335,435,170,140,145
04018,"Jute mallow, picked leaves, raw",200,335,230,65,0,300,155,170,70,255,245,95,250,470,445,240,210,155
04037,"Vine (African) spinach, picked leaves, raw",140,230,215,0,0,195,125,135,0,175,185,70,165,275,370,180,135,135
04015,"Cowpea, leaves, picked, raw",205,350,225,40,0,260,180,205,55,255,205,70,280,435,390,230,185,150
04003,"Black (African) nightshade, indigenous, leaves, picked, raw",205,350,215,71,47,290,165,155,65,255,210,90,240,460,435,230,180,150
05037,"Watermelon, fruit, green with white stripes, raw",19,18,62,6,2,15,12,27,7,16,59,6,17,39,60,10,24,16
05004,"Banana, cavendish, raw",34,85,50,11,17,55,25,35,12,75,48,84,40,130,115,38,41,48
05024,"Passion fruit, dark purple skin, raw",100,155,110,0,0,235,75,85,0,145,305,0,145,295,530,150,175,145
05029,"Pineapple, raw",13,19,19,5,11,12,15,14,5,20,13,7,33,130,72,26,18,25
05017,"Loquat, peeled, raw",25,43,38,7,10,23,21,25,8,35,23,12,40,60,60,33,45,33
5011,"Guava, pink-fleshed, raw",43,70,30,10,11,17,29,41,8,53,36,20,60,135,235,100,62,60
5022,"Orange, pulp, raw",23,22,44,19,10,28,15,14,9,37,60,16,47,125,70,88,55,30
5003,"Avocado, ripe, raw",65,85,80,26,25,67,42,65,16,85,60,38,75,155,150,85,70,85
5012,"Jackfruit, fruit, yellow-fleshed, peeled, raw",49,95,47,8,7,63,85,61,9,73,45,23,87,371,130,76,85,76
5036,"Tree tomato, dark red skin, peeled, raw",75,80,105,0,0,70,0,60,0,60,0,0,50,255,905,80,65,105
6022,"Milk, cow, whole, fresh, raw",168,367,303,70,40,149,182,152,38,228,128,105,138,250,694,81,322,201
6020,"Milk, cow, whole, fermented (Lala - Industrial)",129,285,215,51,41,103,124,136,33,171,209,96,106,259,523,62,302,215
6021,"Milk, cow, whole, fermented (Lala - mursik)",146,329,278,77,39,157,181,160,45,159,231,83,104,217,578,63,283,222
6026,"Yoghurt, cow milk, whole, plain",131,293,259,52,40,122,127,145,3,162,120,75,97,255,557,63,291,223
6014,"Milk, camel, whole, fresh, raw",142,256,113,78,28,99,83,90,55,188,73,66,80,113,384,41,263,87
7010,"Egg, chicken, whole, raw",750,1230,669,456,284,602,473,494,196,929,811,251,958,1010,970,453,479,747
7001,"Beef, high fat, w/o bones, raw",745,1200,1530,266,745,503,359,455,81,1350,745,555,1210,1570,2980,1100,986,505
7004,"Beef, medium fat, w/o bones, raw",983,1540,1700,377,54,663,512,573,127,1780,1290,770,1610,2030,3530,1110,1050,562
7002,"Beef, lean, raw",926,1630,1780,413,54,737,594,590,126,1620,1350,904,1440,2080,3850,1100,941,546
7015,"Goat, medium fat, raw",704,1310,1410,406,75,657,504,736,222,1270,1360,569,1330,1590,2290,1610,1140,432
7013,"Goat, lean, raw",877,1680,1920,491,88,762,608,928,134,1530,1430,588,1590,1360,1660,1040,782,428
7008,"Duck, meat and skin, fresh, raw",866,1520,2030,478,84,716,552,773,160,1370,1180,619,1190,1490,2030,897,684,376
7021,"Rabbit meat, raw",452,843,904,224,126,450,379,474,111,567,799,341,842,1030,2060,1250,1020,433
7003,"Beef, liver, raw",718,1720,1690,421,84,923,635,2370,161,1650,1240,569,1360,1420,1770,1220,873,444
8009,"Nile tilapia, fillet, w/o skin and bones, raw",805,1420,1620,515,79,722,552,759,203,1290,1260,562,1170,1680,2960,1100,706,449
8005,"Lungfish, fillet, raw",812,1310,1890,379,91,619,449,694,105,1350,951,477,1300,1270,1910,1070,679,307
8008,"Nile perch, fillet w/o bones, raw",871,1510,1630,559,84,778,602,857,197,1410,1140,495,1220,1960,2910,933,736,439
8002,"Dagaa fish (omena), dried, raw",2720,4210,5090,1470,559,2080,1620,2080,377,3960,3560,2380,3700,6810,8200,2930,2950,2330
10009,"Nut, macadamia, raw, unsalted",290,573,420,70,5,307,457,313,0,297,1080,210,370,750,2050,403,523,327
10005,"Jack fruit, seed, mature, dry, raw",420,495,212,53,31,445,480,450,85,435,172,96,160,500,730,395,395,302
10008,"Nut, ground nut, with skin, unsalted, dry, raw",267,499,194,41,75,363,277,215,50,227,750,165,309,660,1130,474,239,379
10012,"Seed, sesame (sim sim) unsalted, dry, raw",288,522,265,205,119,336,283,289,74,391,813,187,353,604,1400,365,281,318